场景路径,章节名称,scnbeventsAttachPropDescriptor,scnbeventsCameraClipDescriptor,scnbeventsChangeWorkEvent,scnbeventsSocketDescriptor,scnbeventsStopWorkEvent,scnbeventsVFXDurationEventDescriptor,scnbeventsVFXEventDescriptor,toolsAddIdleEventDescriptor,toolsAudioEventDescriptor,toolsChangeIdleAnimDescriptor,toolsDialogLineEventDescriptor,toolsLookAtAdvancedDescriptor,toolsLookAtDescriptor,toolsPlaySkAnimDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_rather_not_offert,0,0,1,3,0,0,0,0,0,1,4,0,0,3
base\quest\testgym\meethanako.scenesolution,q115_00b_nervous_johnny,0,0,2,1,1,0,2,0,0,1,5,0,0,2
base\quest\testgym\meethanako.scenesolution,q115_00b_furious_johnny,2,0,5,1,1,0,1,0,0,1,5,0,2,2
base\quest\testgym\meethanako.scenesolution,q115_00b_johnny_sickness_lvl1_play,0,0,0,1,0,0,0,0,0,0,1,0,0,0
base\quest\testgym\meethanako.scenesolution,q115_00b_johnny_sickness_lvl1_break,0,0,0,1,0,0,0,0,0,0,1,0,0,0
base\quest\testgym\meethanako.scenesolution,q115_00b_johnny_sickness_lvl2_play,0,0,0,1,0,0,0,0,0,0,1,0,0,0
base\quest\testgym\meethanako.scenesolution,q115_00b_guard_02_backtopose,0,0,2,0,0,0,0,0,0,2,0,0,2,0
base\quest\testgym\meethanako.scenesolution,q115_00b_v_is_fine,0,0,1,1,0,0,2,0,0,1,3,0,2,1
base\quest\testgym\meethanako.scenesolution,q115_00b_v_is_not_good,0,0,1,1,0,0,2,1,0,1,3,0,2,1
base\quest\testgym\meethanako.scenesolution,q115_00b_angry_johnny,0,1,1,0,1,0,2,0,0,1,5,0,0,2
base\quest\testgym\meethanako.scenesolution,q115_00b_hanako_power_fluff,2,0,1,0,0,0,3,0,0,2,6,0,4,6
base\quest\testgym\meethanako.scenesolution,q115_00b_v_getting_out,0,0,0,1,0,0,0,0,0,1,2,0,0,1
base\quest\testgym\meethanako.scenesolution,q115_00b_18,0,0,0,0,1,0,0,0,0,0,0,0,0,0
base\quest\testgym\meethanako.scenesolution,q115_00b_v_getting_from_the_bar,0,0,0,0,0,0,1,0,0,0,1,0,0,0
base\quest\testgym\meethanako.scenesolution,q115_00b_v_getting_from_the_bar_2,0,0,0,0,0,0,1,0,0,0,1,0,0,0
base\quest\testgym\meethanako.scenesolution,q115_00b_19,0,0,1,0,0,0,0,0,0,0,0,0,1,0
base\quest\testgym\meethanako.scenesolution,q115_00b_28,0,1,0,0,0,0,0,0,0,0,0,0,0,0
base\quest\testgym\meethanako.scenesolution,q115_00b_28_01,0,1,0,0,0,0,0,0,0,0,0,0,0,0
base\quest\testgym\meethanako.scenesolution,q115_00b_27,0,0,1,0,0,0,1,0,0,0,0,0,0,0
base\quest\testgym\meethanako.scenesolution,q115_00b_v_getting_from_the_bar_animation,0,2,0,4,1,0,0,0,0,1,0,0,0,1
base\quest\testgym\meethanako.scenesolution,q115_00b_leave_restaurant,0,0,0,1,0,0,0,0,0,0,1,0,0,0
base\quest\testgym\meethanako.scenesolution,q115_00b_inside_fluff,0,0,0,0,0,0,0,0,0,2,5,0,1,2
base\quest\testgym\meethanako.scenesolution,q115_00b_johnny_walking_into_frame_02,1,0,1,0,0,0,0,0,0,0,0,0,1,0
base\quest\testgym\meethanako.scenesolution,q115_00b_09,0,0,1,0,0,0,0,0,0,0,0,0,0,0
base\quest\testgym\meethanako.scenesolution,q115_00b_as_hanako_wish,0,0,0,0,0,0,0,0,0,0,1,0,0,0
base\quest\testgym\meethanako.scenesolution,q115_00b_v_doesnt_get_it,0,0,0,0,0,0,0,0,0,1,1,0,0,1
base\quest\testgym\meethanako.scenesolution,q115_00b_blue_about_hanako,0,0,0,3,0,0,3,0,0,0,4,0,1,4
base\quest\testgym\meethanako.scenesolution,q115_00b_power_conclusion,0,0,1,1,0,0,0,0,0,1,1,0,0,0
base\quest\testgym\meethanako.scenesolution,q115_00b_eye_glow,0,0,0,0,0,0,0,0,0,0,0,0,0,0
base\quest\testgym\meethanako.scenesolution,q115_00b_guard_01_ending_scenespot,0,0,2,0,0,0,0,0,0,0,0,0,0,0
base\quest\testgym\meethanako.scenesolution,q115_00b_15,0,0,0,0,2,0,0,0,0,0,0,0,0,0
base\quest\testgym\meethanako.scenesolution,q115_00b_37,0,0,1,0,0,0,0,0,0,0,0,0,0,0
base\quest\testgym\meethanako.scenesolution,q115_00b_38,0,0,1,0,0,0,0,0,0,0,0,0,0,0
base\quest\testgym\meethanako.scenesolution,q115_00b_hanako_sit,0,0,0,0,0,0,0,0,0,0,1,0,1,0
base\quest\testgym\meethanako.scenesolution,q115_00b_reminder_sit,0,0,0,0,0,0,0,0,0,0,1,0,0,0
base\quest\testgym\meethanako.scenesolution,q115_00b_reminder_help,0,0,0,0,0,0,0,0,0,0,1,0,0,0
base\quest\testgym\meethanako.scenesolution,q115_00b_reminder_dont_speak,0,0,0,0,0,0,0,0,0,0,0,0,0,0
base\quest\testgym\meethanako.scenesolution,02,0,0,0,0,0,0,0,0,0,0,0,0,0,0
base\quest\testgym\meethanako.scenesolution,q115_00b_guard_cheeky_move,0,0,2,0,0,0,0,0,0,0,0,0,0,0
base\quest\testgym\meethanako.scenesolution,q115_00b_hanako_getting_up,0,0,0,0,0,0,0,0,0,0,0,0,0,1
base\quest\testgym\meethanako.scenesolution,q115_00b_guard_to_hanako,0,0,2,0,1,0,0,0,0,0,0,0,2,0
base\quest\testgym\meethanako.scenesolution,q115_00b_hanako_by_the_window,0,0,1,0,0,0,0,0,0,0,0,0,1,0
base\quest\testgym\meethanako.scenesolution,q115_00b_stop_anim,0,0,0,0,0,0,0,0,0,0,0,0,0,1
base\quest\testgym\meethanako.scenesolution,q115_00b_30,0,0,0,0,1,0,0,0,0,0,0,0,0,0
base\quest\testgym\meethanako.scenesolution,q115_00b_33,0,0,1,0,0,0,0,0,0,0,0,0,0,0
base\quest\testgym\meethanako.scenesolution,q115_00b_johnny_walking_into_frame,0,0,1,0,0,0,0,0,0,0,0,0,0,0
base\quest\testgym\meethanako.scenesolution,q115_00b_player_cough,0,0,0,0,0,1,0,0,0,0,0,0,0,1
base\quest\testgym\meethanako.scenesolution,q115_00b_31,0,0,0,0,1,0,0,0,0,0,0,0,0,0
base\quest\testgym\meethanako.scenesolution,q115_00b_32,0,0,1,0,0,0,0,0,0,0,0,0,0,0
base\quest\testgym\meethanako.scenesolution,q115_00b_guards,0,0,0,0,0,0,0,0,0,0,1,0,0,0
base\quest\testgym\meethanako.scenesolution,q115_00b_,0,0,0,0,0,0,0,0,0,0,0,0,2,1
base\quest\testgym\meethanako.scenesolution,q115_00b_guard_02_to_stand_hands_back,0,0,1,0,0,0,0,0,0,0,0,0,0,0
base\quest\testgym\meethanako.scenesolution,q115_00b_AV_sfx,0,0,0,0,0,0,0,0,1,0,1,0,0,0
base\quest\testgym\meethanako.scenesolution,q115_00b_12,0,0,0,0,0,0,0,0,0,0,1,0,0,1
