场景路径,段落名称,轨道总数,类型1轨道数,类型2轨道数,类型3轨道数,类型4轨道数,类型5轨道数,类型6轨道数,类型7轨道数,类型8轨道数,Clip总数,动画种类数,动画使用总次数
base\quest\testgym\meethanako.scenesolution,q115_00b_22,7,1,1,1,1,1,1,0,1,1,2,2
base\quest\testgym\meethanako.scenesolution,q115_00b_good_offert,25,1,4,4,4,4,4,0,4,14,7,9
base\quest\testgym\meethanako.scenesolution,q115_00b_rather_not_offert,25,1,4,4,4,4,4,0,4,12,6,8
base\quest\testgym\meethanako.scenesolution,q115_00b_nervous_johnny,20,1,3,3,3,3,3,0,3,14,7,10
base\quest\testgym\meethanako.scenesolution,q115_00b_furious_johnny,31,1,5,5,5,5,5,0,5,20,10,15
base\quest\testgym\meethanako.scenesolution,q115_00b_johnny_sickness_lvl1_play,7,1,1,1,1,1,1,0,1,2,0,0
base\quest\testgym\meethanako.scenesolution,q115_00b_johnny_sickness_lvl1_break,7,1,1,1,1,1,1,0,1,2,0,0
base\quest\testgym\meethanako.scenesolution,q115_00b_johnny_sickness_lvl2_play,7,1,1,1,1,1,1,0,1,2,0,0
base\quest\testgym\meethanako.scenesolution,q115_00b_guard_02_backtopose,13,1,2,2,2,2,2,0,2,6,3,10
base\quest\testgym\meethanako.scenesolution,q115_00b_v_is_fine,14,1,2,2,2,2,2,0,2,11,4,6
base\quest\testgym\meethanako.scenesolution,q115_00b_v_is_not_good,14,1,2,2,2,2,2,0,2,12,4,6
base\quest\testgym\meethanako.scenesolution,q115_00b_angry_johnny,20,1,3,3,3,3,3,0,3,13,7,9
base\quest\testgym\meethanako.scenesolution,q115_00b_hanako_power_fluff,15,1,2,2,2,3,2,0,2,24,8,13
base\quest\testgym\meethanako.scenesolution,q115_00b_v_getting_out,13,1,2,2,2,2,2,0,2,5,2,4
base\quest\testgym\meethanako.scenesolution,q115_00b_18,7,1,1,1,1,1,1,0,1,1,2,2
base\quest\testgym\meethanako.scenesolution,q115_00b_v_getting_from_the_bar,8,1,1,1,1,1,1,0,1,2,0,0
base\quest\testgym\meethanako.scenesolution,q115_00b_v_getting_from_the_bar_2,14,1,2,2,2,2,2,0,2,2,0,0
base\quest\testgym\meethanako.scenesolution,q115_00b_19,7,1,1,1,1,1,1,0,1,2,2,2
base\quest\testgym\meethanako.scenesolution,q115_00b_28,7,1,1,1,1,1,1,0,1,1,0,0
base\quest\testgym\meethanako.scenesolution,q115_00b_28_01,7,1,1,1,1,1,1,0,1,1,0,0
base\quest\testgym\meethanako.scenesolution,q115_00b_27,8,1,1,1,1,1,1,0,1,2,2,2
base\quest\testgym\meethanako.scenesolution,q115_00b_v_getting_from_the_bar_animation,13,1,2,2,2,2,2,0,2,9,4,6
base\quest\testgym\meethanako.scenesolution,q115_00b_leave_restaurant,13,1,2,2,2,2,2,0,2,2,0,0
base\quest\testgym\meethanako.scenesolution,q115_00b_inside_fluff,8,1,1,1,1,2,1,0,1,10,3,8
base\quest\testgym\meethanako.scenesolution,q115_00b_johnny_walking_into_frame_02,7,1,1,1,1,1,1,0,1,3,2,2
base\quest\testgym\meethanako.scenesolution,q115_00b_09,7,1,1,1,1,1,1,0,1,1,2,2
base\quest\testgym\meethanako.scenesolution,q115_00b_as_hanako_wish,1,1,0,0,0,0,0,0,0,1,0,0
base\quest\testgym\meethanako.scenesolution,q115_00b_v_doesnt_get_it,7,1,1,1,1,1,1,0,1,3,2,4
base\quest\testgym\meethanako.scenesolution,q115_00b_blue_about_hanako,14,1,2,2,2,2,2,0,2,15,4,4
base\quest\testgym\meethanako.scenesolution,q115_00b_power_conclusion,13,1,2,2,2,2,2,0,2,4,2,4
base\quest\testgym\meethanako.scenesolution,q115_00b_eye_glow,13,1,2,2,2,2,2,0,2,0,0,0
base\quest\testgym\meethanako.scenesolution,q115_00b_guard_01_ending_scenespot,7,1,1,1,1,1,1,0,1,2,3,4
base\quest\testgym\meethanako.scenesolution,q115_00b_15,13,1,2,2,2,2,2,0,2,2,2,4
base\quest\testgym\meethanako.scenesolution,q115_00b_37,7,1,1,1,1,1,1,0,1,1,2,2
base\quest\testgym\meethanako.scenesolution,q115_00b_38,7,1,1,1,1,1,1,0,1,1,2,2
base\quest\testgym\meethanako.scenesolution,q115_00b_hanako_sit,7,1,1,1,1,1,1,0,1,2,0,0
base\quest\testgym\meethanako.scenesolution,q115_00b_reminder_sit,1,1,0,0,0,0,0,0,0,1,0,0
base\quest\testgym\meethanako.scenesolution,q115_00b_reminder_help,1,1,0,0,0,0,0,0,0,1,0,0
base\quest\testgym\meethanako.scenesolution,q115_00b_reminder_dont_speak,1,1,0,0,0,0,0,0,0,0,0,0
base\quest\testgym\meethanako.scenesolution,02,1,1,0,0,0,0,0,0,0,0,0,0
base\quest\testgym\meethanako.scenesolution,q115_00b_guard_cheeky_move,13,1,2,2,2,2,2,0,2,2,2,4
base\quest\testgym\meethanako.scenesolution,q115_00b_hanako_getting_up,7,1,1,1,1,1,1,0,1,1,1,1
base\quest\testgym\meethanako.scenesolution,q115_00b_guard_to_hanako,7,1,1,1,1,1,1,0,1,5,4,6
base\quest\testgym\meethanako.scenesolution,q115_00b_hanako_by_the_window,13,1,2,2,2,2,2,0,2,2,2,2
base\quest\testgym\meethanako.scenesolution,q115_00b_stop_anim,7,1,1,1,1,1,1,0,1,1,1,1
base\quest\testgym\meethanako.scenesolution,q115_00b_30,7,1,1,1,1,1,1,0,1,1,2,2
base\quest\testgym\meethanako.scenesolution,q115_00b_33,7,1,1,1,1,1,1,0,1,1,1,1
base\quest\testgym\meethanako.scenesolution,q115_00b_johnny_walking_into_frame,7,1,1,1,1,1,1,0,1,1,2,2
base\quest\testgym\meethanako.scenesolution,q115_00b_player_cough,9,1,1,1,1,1,1,0,1,2,1,1
base\quest\testgym\meethanako.scenesolution,q115_00b_31,7,1,1,1,1,1,1,0,1,1,2,2
base\quest\testgym\meethanako.scenesolution,q115_00b_32,7,1,1,1,1,1,1,0,1,1,2,2
base\quest\testgym\meethanako.scenesolution,q115_00b_guards,7,1,1,1,1,1,1,0,1,1,0,0
base\quest\testgym\meethanako.scenesolution,q115_00b_,7,1,1,1,1,1,1,0,1,3,1,1
base\quest\testgym\meethanako.scenesolution,q115_00b_guard_02_to_stand_hands_back,7,1,1,1,1,1,1,0,1,1,2,2
base\quest\testgym\meethanako.scenesolution,q115_00b_AV_sfx,8,1,1,1,1,1,1,0,1,2,0,0
base\quest\testgym\meethanako.scenesolution,q115_00b_12,7,1,1,1,1,1,1,0,1,2,1,1
base\quest\testgym\meethanako.scenesolution,q115_00b_johnny_hand_disappear_elevator,1,1,0,0,0,0,0,0,0,0,0,0
base\quest\testgym\meethanako.scenesolution,q115_00b_39,7,1,1,1,1,1,1,0,1,1,1,1
base\quest\testgym\meethanako.scenesolution,q115_00b_AV_sfx,8,1,1,1,1,1,1,0,1,2,0,0
base\quest\testgym\meethanako.scenesolution,q115_00b_hanako_sitting_idle,13,1,2,2,2,2,2,0,2,1,1,1
base\quest\testgym\meethanako.scenesolution,q115_00b_johnny_restaurant_crew_comment,7,1,1,1,1,1,1,0,1,3,0,0
base\quest\testgym\meethanako.scenesolution,q115_00b_johnny_by_the_stairs,7,1,1,1,1,1,1,0,1,2,1,1
base\quest\testgym\meethanako.scenesolution,q115_00b_guard_animations,13,1,2,2,2,2,2,0,2,5,3,8
base\quest\testgym\meethanako.scenesolution,q115_00b_29,1,1,0,0,0,0,0,0,0,0,0,0
base\quest\testgym\meethanako.scenesolution,q115_00b_johnny_hand_appear_elevator,1,1,0,0,0,0,0,0,0,0,0,0
base\quest\testgym\meethanako.scenesolution,sadasdad,7,1,1,1,1,1,1,0,1,2,3,3
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_guards,13,1,2,2,2,2,2,0,2,2,0,0
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_leave_restaurant,13,1,2,2,2,2,2,0,2,3,0,0
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_hanako_beginning,13,1,2,2,2,2,2,0,2,11,4,4
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_furious_johnny,31,1,5,5,5,5,5,0,5,25,11,15
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_angry_johnny,20,1,3,3,3,3,3,0,3,13,7,7
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_nervous_johnny,20,1,3,3,3,3,3,0,3,16,8,10
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_v_is_fine,14,1,2,2,2,2,2,0,2,12,4,6
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_v_is_not_good,14,1,2,2,2,2,2,0,2,12,4,6
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_mikoshi,12,1,2,2,0,2,2,0,2,27,10,16
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_mikoshi_go_one,7,1,1,1,1,1,1,0,1,3,0,0
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_mikoshi_how_is_that,7,1,1,1,1,1,1,0,1,2,0,0
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_my_brother,13,1,2,2,2,2,2,0,2,6,1,3
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_hanako_greet,7,1,1,1,1,1,1,0,1,3,1,1
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_hanako_nervous,7,1,1,1,1,1,1,0,1,15,6,13
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_what_hanako,13,1,2,2,2,2,2,0,2,10,3,3
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_business_of_arasakas,13,1,2,2,2,2,2,0,2,7,3,5
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_rather_not_offert,25,1,4,4,4,4,4,0,4,13,7,9
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_kill_brother,7,1,1,1,1,1,1,0,1,4,1,1
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_good_offert,31,1,5,5,5,5,5,0,5,15,7,9
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_hanako_conclusion,31,1,5,5,5,5,5,0,5,48,16,26
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_inside_fluff,8,1,1,1,1,2,1,0,1,11,3,8
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_hanako_power_fluff,16,1,2,2,2,4,2,0,2,25,9,14
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_v_getting_out,13,1,2,2,2,2,2,0,2,5,2,4
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_let_me_hear,7,1,1,1,1,1,1,0,1,8,2,2
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_v_doesnt_get_it,7,1,1,1,1,1,1,0,1,4,2,4
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_as_hanako_wish,1,1,0,0,0,0,0,0,0,1,0,0
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_blue_about_hanako,20,1,3,3,3,3,3,0,3,20,7,7
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_shut_up_johnny,7,1,1,1,1,1,1,0,1,3,0,0
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_what_do_u_mean,19,1,3,3,3,3,3,0,3,11,6,11
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_angry_mean,13,1,2,2,2,2,2,0,2,11,6,11
