scene_name,quest_category,choice_sections,normal_sections,total_sections,total_lines,file_path
q101_01_covered_in_trash,main_quests/part1/q101,3,33,36,23,D:\AppSoft\Sy2077\2077\2077\CDPR2077\r6\depot\base\quest\main_quests\part1\q101\scenes\q101_01_covered_in_trash.scnlocjson
q101_02_vision_and_sobchuk,main_quests/part1/q101,1,9,10,15,D:\AppSoft\Sy2077\2077\2077\CDPR2077\r6\depot\base\quest\main_quests\part1\q101\scenes\q101_02_vision_and_sobchuk.scnlocjson
q101_03_car_ride,main_quests/part1/q101,1,47,48,57,D:\AppSoft\Sy2077\2077\2077\CDPR2077\r6\depot\base\quest\main_quests\part1\q101\scenes\q101_03_car_ride.scnlocjson
q101_05_after_crash,main_quests/part1/q101,4,21,25,39,D:\AppSoft\Sy2077\2077\2077\CDPR2077\r6\depot\base\quest\main_quests\part1\q101\scenes\q101_05_after_crash.scnlocjson
q101_06ca_memories_p2_evac,main_quests/part1/q101,0,3,3,4,D:\AppSoft\Sy2077\2077\2077\CDPR2077\r6\depot\base\quest\main_quests\part1\q101\scenes\q101_06ca_memories_p2_evac.scnlocjson
q101_06c_memories_backalley_p1,main_quests/part1/q101,5,31,36,48,D:\AppSoft\Sy2077\2077\2077\CDPR2077\r6\depot\base\quest\main_quests\part1\q101\scenes\q101_06c_memories_backalley_p1.scnlocjson
q101_06c_memories_p1,main_quests/part1/q101,2,16,18,21,D:\AppSoft\Sy2077\2077\2077\CDPR2077\r6\depot\base\quest\main_quests\part1\q101\scenes\q101_06c_memories_p1.scnlocjson
q101_06c_memories_p2,main_quests/part1/q101,9,65,74,124,D:\AppSoft\Sy2077\2077\2077\CDPR2077\r6\depot\base\quest\main_quests\part1\q101\scenes\q101_06c_memories_p2.scnlocjson
q101_06c_memories_p3,main_quests/part1/q101,2,16,18,31,D:\AppSoft\Sy2077\2077\2077\CDPR2077\r6\depot\base\quest\main_quests\part1\q101\scenes\q101_06c_memories_p3.scnlocjson
q101_06_delamain_ride,main_quests/part1/q101,0,2,2,11,D:\AppSoft\Sy2077\2077\2077\CDPR2077\r6\depot\base\quest\main_quests\part1\q101\scenes\q101_06_delamain_ride.scnlocjson
q101_07b_whiteroom,main_quests/part1/q101,1,8,9,9,D:\AppSoft\Sy2077\2077\2077\CDPR2077\r6\depot\base\quest\main_quests\part1\q101\scenes\q101_07b_whiteroom.scnlocjson
q101_07c_johnny_triggers,main_quests/part1/q101,17,59,76,170,D:\AppSoft\Sy2077\2077\2077\CDPR2077\r6\depot\base\quest\main_quests\part1\q101\scenes\q101_07c_johnny_triggers.scnlocjson
q101_07d_wilson,main_quests/part1/q101,0,0,0,0,D:\AppSoft\Sy2077\2077\2077\CDPR2077\r6\depot\base\quest\main_quests\part1\q101\scenes\q101_07d_wilson.scnlocjson
q101_07_ripperdoc,main_quests/part1/q101,10,45,55,141,D:\AppSoft\Sy2077\2077\2077\CDPR2077\r6\depot\base\quest\main_quests\part1\q101\scenes\q101_07_ripperdoc.scnlocjson
q101_08_takemura_v_room,main_quests/part1/q101,21,99,120,291,D:\AppSoft\Sy2077\2077\2077\CDPR2077\r6\depot\base\quest\main_quests\part1\q101\scenes\q101_08_takemura_v_room.scnlocjson
